album,Marie,Jean,Pierre,Michel,André,Jeanne,Philippe,Louis,René,Alain,Jacques,Bernard,Marcel,Daniel,Roger,Paul,Robert,Claude,Henri,Christian,Nicolas,Georges,Françoise,Monique,François,Patrick,Catherine,Nathalie,Gérard,Isabelle,Joseph,Christophe,Jacqueline,Sylvie,Anne,Julien,Maurice,Laurent,Frédéric,Martine,Eric,David,Stéphane,Pascal,Madeleine,Sébastien,Alexandre,Nicole,Suzanne,Thierry,Hélène,Christine,Olivier,Antoine,Thomas,Raymond,Louise,Marguerite,Guy,Denise,Christiane,Yvonne,Valérie,Sophie,Dominique,Charles,Sandrine,Céline,Stéphanie,Marc,Didier,Véronique,Vincent,Chantal,Yves,Marcelle,Guillaume,Renée,Maxime,Bruno,Simone,Jeannine,Andrée,Julie,Paulette,Germaine,Annie,Patricia,Lucie,Camille,Yvette,Brigitte,Léa,Alice,Emilie,Odette,Geneviève,Aurélie,Laurence,Michèle
sonic youth - dirty,3.0,2.5,,,,3.0,3.5,3.5,,4.0,,4.5,,,,3.5,,2.5,,3.0,3.5,3.5,4.5,,4.0,4.0,,,,4.0,4.0,,,,3.5,3.5,3.5,2.0,,,,,,,,3.0,,,4.0,4.0,4.0,,,,,4.0,4.0,,3.0,,,3.0,3.5,3.0,4.0,4.0,4.0,,3.5,,3.0,,,,3.5,2.5,4.5,,4.5,,4.0,,,,,4.5,,,4.5,3.5,4.5,,3.5,3.5,,,,3.0,3.0,4.0
sonic youth - evol,4.0,2.5,,,5.0,4.5,4.5,,,5.0,,4.5,,,,4.5,,3.0,,4.0,,3.5,4.5,4.5,4.5,4.0,,3.5,,4.0,3.5,,,4.0,3.5,4.0,,4.0,3.0,,,,,4.0,2.0,2.5,,,4.5,4.5,4.5,,3.5,,,4.0,4.0,,,,,4.0,4.5,3.0,4.5,4.5,3.0,,4.0,,4.5,,,4.0,4.0,4.0,3.0,,4.0,4.0,4.0,,,,4.0,4.5,3.5,,,4.5,5.0,3.5,3.0,4.0,,,,3.5,3.5,4.0
sonic youth - goo,3.5,2.5,,,4.5,3.0,3.5,3.5,,4.0,,4.0,,,,3.5,,3.5,,4.0,3.5,3.5,4.5,,4.0,4.0,4.0,3.5,,3.5,4.0,3.0,,4.0,3.5,3.5,4.0,2.5,4.0,,,4.0,,,,4.5,,,4.5,4.5,4.0,,,,,4.5,4.5,3.5,,3.5,,,4.0,3.0,4.5,4.0,4.5,,3.0,,4.0,,,3.5,4.0,3.5,3.5,,5.0,,4.5,,,,3.5,4.0,3.0,,4.0,4.0,4.5,,4.0,4.0,,,,3.5,3.0,4.0
sonic youth - murray street,,,3.0,,,4.0,3.5,3.0,3.5,,,4.5,,,,3.5,,4.5,,3.5,,,4.5,,3.5,,,,,4.0,4.5,3.0,,,,3.5,,2.5,,,,,,3.0,,4.0,,,,4.0,,,,,,4.5,3.0,,3.5,3.5,,3.5,4.0,2.5,2.5,4.0,3.5,,,,4.0,,,3.0,4.0,,2.5,,3.0,,4.0,,,,3.0,4.0,3.5,,3.5,3.0,4.5,4.0,,3.0,,,,,4.0,3.5
sonic youth - sister,5.0,,,,5.0,4.5,4.5,,,4.5,,5.0,,,,5.0,,4.0,,3.5,,3.5,4.5,,3.5,4.0,3.5,4.0,,3.5,4.5,3.5,,4.0,4.0,4.0,,2.5,4.5,4.5,,,,,,2.5,,,4.5,4.5,4.0,,4.0,,,5.0,4.5,,,4.0,3.5,3.5,4.5,3.5,4.5,5.0,3.5,,3.5,,4.5,,,4.0,5.0,3.0,3.5,,4.5,,5.0,,,,4.0,4.0,3.5,,4.0,3.0,4.5,4.0,3.5,4.0,4.0,,,4.5,4.0,4.0
sonic youth - washing machine,3.0,2.5,,,,4.0,4.5,,,,,4.0,,,,4.5,,,,4.0,,,4.5,,3.5,4.0,3.5,,,3.0,4.0,2.0,,,4.0,3.5,,2.5,,,,,,3.0,,3.0,,,4.5,4.5,3.0,,,,,4.0,4.0,,,,4.0,,4.0,3.5,4.5,4.0,3.0,,,4.5,4.0,,,3.5,3.5,,3.5,,5.0,,4.5,,,,3.5,4.5,,,3.5,4.5,4.5,,,4.0,,,,3.5,3.5,4.0
sonic-youth - bad moon rising,3.5,2.5,,,,4.0,4.5,,,4.0,,4.0,,,,,,,,3.5,,4.0,4.0,4.0,,3.0,,,,4.0,4.0,,,,,3.5,,,,,,,,4.5,3.0,3.0,,,4.5,4.0,,,,,,4.0,3.5,,,3.5,,3.5,4.0,3.0,3.0,4.0,3.5,,4.0,3.5,3.5,,,3.0,3.5,,3.0,,,3.5,3.5,,,,3.0,4.5,,,3.5,3.5,5.0,3.0,,,4.0,,,,3.5,3.5
sonic-youth - confusion is sex,3.5,,,,,3.5,,,,4.0,,4.0,,,,,,4.0,,,,3.5,,,,3.5,,,,4.0,3.0,,,,3.5,,,,,,,,,4.5,3.5,,,,4.0,4.0,3.5,,,,,3.5,3.0,,,,,3.5,4.0,3.0,3.0,3.0,,,4.0,,3.5,,,4.0,3.0,,2.5,,4.5,4.0,2.5,,,,3.5,4.0,,,,,5.0,,,3.5,,,,3.0,3.5,3.5
sophie - oil of every pearl's un-insides,3.5,3.0,,,,3.5,4.0,,,4.5,3.5,3.0,,4.0,4.0,5.0,,,3.0,3.5,,,4.0,,4.5,3.5,,3.0,4.0,3.0,3.5,4.0,4.5,2.0,3.5,3.0,4.0,4.0,,4.0,,5.0,,3.5,,1.5,3.0,4.0,,,,4.5,,3.0,,4.0,1.5,3.5,,4.5,,4.0,2.5,,3.0,4.0,2.5,,4.0,,4.5,4.0,,,4.0,3.0,,4.0,,,2.5,,4.5,3.5,4.0,4.0,3.5,3.5,,4.5,,,,4.0,3.0,2.5,4.0,,3.0,4.0
sophie - product,4.0,,,3.5,,3.5,3.5,,3.0,4.5,3.5,,,,,4.0,,,2.5,,,,4.0,,4.0,3.5,,,,,,4.0,,,4.0,,,3.5,,,,,,4.0,,,,4.0,,,,4.0,,,,3.5,,,,3.5,,4.0,3.0,,,,,,4.0,,4.0,,,,3.5,,,4.0,,,,,4.0,,3.5,,3.0,,,3.0,,,,,,,,,,4.0
sorja morja - sorja,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,2.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.5
soror dolorosa - blind scenes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space afrika - honest labour,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
space streakings - 七特 (7-toku),,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spaceghostpurrp - blvcklvnd rvdix 66.6 (1991),,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,
spacemen 3 - the perfect prescription,3.5,,,4.0,,5.0,4.0,,4.5,,,3.0,,,,,3.0,,4.0,,,,,,4.5,,,4.0,,3.0,5.0,,,,4.0,2.5,,2.5,,3.5,,,,,,,,,,4.0,,,,3.5,,4.0,,,,,,3.5,4.5,3.0,4.0,5.0,3.5,,,,4.5,,,,4.0,,4.0,,3.5,,,,,,3.0,4.5,3.0,,,3.0,5.0,,,4.0,,,,,,
sparklehorse - it's a wonderful life,,,,4.0,,3.5,,,,4.5,,4.0,,,4.0,5.0,,,,,,,4.5,,4.0,,,3.5,,4.0,4.0,,,,3.5,3.5,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,3.5,4.0,5.0,,3.5,,4.0,,,,3.0,,3.5,,,,3.0,,3.5,,3.0,,,,,2.0,,4.0,,3.5,,,,,,4.0
sparks - kimono my house,3.5,,,,4.5,3.0,,,,,,,,,,4.5,,,,,,,3.5,,4.0,4.0,,3.5,,3.5,4.5,3.0,,4.0,3.5,,3.5,3.0,,,,,,,,,,,5.0,3.5,,,4.0,,,,,,4.5,,,3.0,4.0,,4.0,4.0,,,4.0,,,,,,3.5,,4.5,3.0,,4.0,4.0,,,,4.5,4.5,3.5,,,4.0,0.5,,,3.0,,,,,,
sparks - n° 1 in heaven,3.5,,,,,,,,,,,4.0,,,,4.5,,,,,,,4.5,,,3.5,,,,,4.0,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,4.0,4.5,,,,,,,,,,,,4.0,,
sparks - propaganda,3.5,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,4.0,,4.0,2.5,,,,,,,,2.0,,,,,,,4.0,,,,,,4.0,,,,3.5,,,3.5,,,3.5,,,,,,,,4.0,,,,4.0,,,,3.0,3.5,3.5,,,,0.5,,,,,,,4.5,,
special interest - spiraling,,,,,,,,,4.0,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.5,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,4.5,,,,,,,,,
spectres - last days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spectres - nostalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spectres - nothing to nowhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spectres - utopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speedy ortiz - foil deer,,,,3.5,,3.0,,,,,,,,,,,,,,,,,4.5,,,,,,,3.0,3.5,,,,,,4.0,,,,,,,,,,,,,,,,,,,2.5,,,2.5,,,,,,,,,,,,,,,,3.5,,,,,2.5,,,,,,,,,,,,,,,,,,,,
speedy ortiz - major arcana,,,,3.0,2.5,,,,,,,3.5,,,,,,,,,,,4.0,,,,,,,2.5,4.0,,,,,,3.5,,,,,,,,,,,,,,,,,,,2.5,,,3.5,,,,,,3.5,,,,,,,,,,3.0,,,,,3.0,,,,,,3.5,,,,,4.5,,,,,,,,,
spellling - mazy fly,3.5,,,,,3.5,,,,,,,,,,,,,,,,,,,4.5,3.0,,,,,,,,,,,,2.5,,4.0,,,,,,3.5,3.5,,,4.0,,,,3.0,,3.0,,,,,,3.5,,,,,,,3.0,3.5,,,,,3.5,,,,,,,,,,4.0,,3.5,,,,,,,,,,,,,3.5
spellling - the turning wheel,3.0,,,3.0,,4.0,,,,,4.0,3.5,,2.0,4.0,,,,,3.5,,,,,4.0,3.5,,,,,,,,4.0,,,,3.0,,,,,,1.5,,,3.5,,,4.5,,,,,,3.5,,3.5,,,,,,,,,,,,3.5,,,4.0,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,
spencer radcliffe - looking in,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"spirit of the beehive - entertainment, death",,,,3.0,,,,,,,3.5,4.0,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,3.5,,,,,,,2.5,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spirit of the beehive - hypnic jerks,,,3.0,,,3.0,,,,,,4.0,3.5,,,,,,,,,,,,,,,,,,4.0,,,,3.5,,,,,3.5,,,,,,,,,,,,,4.0,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,3.5,,,,,,3.0,3.5,,,,4.0,,,,,,,,
spiritual mafia - alfresco,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,
spiritualized® - ladies and gentlemen we are floating in space,4.0,2.0,3.0,4.0,,5.0,4.0,3.5,4.0,,4.5,,,3.5,,3.5,,,4.0,4.0,,,5.0,,4.0,3.5,,3.5,,4.0,4.5,3.0,,4.5,4.0,3.5,,3.0,,4.0,,,,,,4.0,,,5.0,3.0,,,,4.5,,5.0,,3.5,,,4.0,3.5,5.0,3.0,2.5,4.0,4.0,,,,4.5,3.5,,3.5,4.5,2.5,4.0,3.5,4.0,3.0,,,,,3.0,4.0,3.0,,,4.0,5.0,2.0,4.0,4.0,4.0,,,,4.0,4.0
spk - auto-da-fé,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,3.5,,,4.0,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,
spk - leichenschrei,,,,,,4.0,4.0,,,,,,,,,,,,,,4.0,,,,,,,3.5,,3.0,,,,,,3.5,,4.0,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,2.5,,,,4.0,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,
spook houses - trying,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spoon - ga ga ga ga ga,3.0,,2.5,,4.5,4.5,,,,,,3.5,,,,3.5,,,,,,,4.0,,4.0,4.0,,,,3.5,3.5,,,,,4.0,,,,2.5,,,3.0,,,,,,,,3.0,,,,,3.5,,,,,,,,,,3.5,3.5,,,,,,,,3.5,,3.0,,,2.5,3.0,,,,,,3.0,,,,4.5,,,3.5,,,,,,
spoon - kill the moonlight,,,,3.5,4.0,4.5,3.5,,,,,4.0,,,,4.5,,,,,,,4.0,,4.0,4.0,,,,3.0,3.5,2.0,,,,,,,,2.5,,,,,,,,,,3.5,,,,,,3.5,,,,,,3.5,,,3.0,4.0,,,,,3.5,,,,4.0,,3.5,,,2.5,3.0,,,,3.0,,3.0,,,,4.5,,,3.5,,,,,,
spray paint - dopers,,,,,3.5,,,,3.0,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,
spray paint - rodeo songs,,,,,4.0,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,
spray paint - spray paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,
spread joy - spread joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,
spring heel jack - amassed,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
springtime - springtime,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,3.5,,3.5,,,3.5,,,,,,,,,,,,
spvcxghxztpvrrp (spaceghostpurrp) - blvcklvnd rvdix 66.6 (1991),,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squarepusher - hard normal daddy,,2.0,,,,4.5,,,,,,4.0,,,,,,,,,,3.5,4.0,,3.5,,,3.5,,3.5,4.0,1.0,,,,,,3.0,,3.5,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,,,,,,,3.0,4.0,,,4.5,,,,3.0,4.0,3.0,,,,,,,,,,,,,3.5
squid - bright green field,2.5,,4.0,3.0,,,,4.0,,,4.5,4.0,,4.0,4.0,,,,,3.0,,,3.5,,3.5,3.0,,3.0,,3.5,4.0,3.5,4.0,4.0,2.5,4.0,3.5,3.0,,4.0,,4.0,,,,,3.5,,,4.0,,,,,,3.5,3.5,3.5,3.5,,4.0,3.5,3.5,,3.5,,3.0,3.0,2.5,3.5,3.5,2.0,3.0,,3.5,,,3.0,,,3.5,,4.0,,4.5,,4.0,4.0,,,0.5,3.0,,3.5,,,,4.5,,4.0
squid - town centre,,,,,,,,,,3.0,3.5,4.0,,,,,,,,,,,,,,,,,,,4.0,3.5,,,,,3.5,3.0,,,,,,,,,,,,3.5,,,,,,,,,,,4.0,4.0,3.5,,,,,,3.0,3.5,,,,2.5,3.5,,,3.0,,,,,3.5,,3.5,,3.5,4.0,,,,2.5,,,,,,,,
st. vincent - strange mercy,3.0,2.5,,4.0,,3.5,,,,,,3.0,,,,4.0,,,,,,,5.0,,3.5,4.0,,,,3.0,,,,,2.5,3.5,,2.5,,3.0,,,3.5,,,3.0,,,,,,,,,,3.5,3.5,,3.0,,,4.0,,,2.0,4.0,3.0,,3.0,,3.5,,,,,,2.5,,,3.0,,,3.5,,2.5,3.5,3.5,,,,4.5,,,3.5,,,,,2.0,3.5
staatsorchester stuttgart / lithuanian chamber orchestra / the 12 cellists of the berlin philharmonic orchestra / dennis russell davies / saulius sondeckis / gidon kremer / keith jarrett / tatjana grindenko / alfred schnittke - tabula rasa,4.0,,3.0,,,3.0,4.5,,,,,,,,,4.0,,,,,,,,,4.0,,,4.0,,4.0,4.0,,,4.5,3.0,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.5,,3.5,4.5,4.0,,,,,,,2.5,4.0,,3.5,,,,,,,,3.0,,,,,2.0,4.5,,,4.5,,,,,,4.5
stan getz & joão gilberto featuring antônio carlos jobim - getz  gilberto,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stan getz & joão gilberto featuring antônio carlos jobim - getz / gilberto,,,,,,4.0,,,,,3.5,4.0,,,,3.5,,,,3.5,,,4.5,,4.0,,,4.0,,4.0,,,,3.5,3.5,3.5,,4.0,,,4.0,,,,,4.0,,,,,,,4.0,,,,,,,,,,4.5,3.0,,4.0,4.0,,,,,,,3.5,4.0,3.0,3.0,,,4.0,,,,,3.0,4.0,3.5,,3.5,3.0,,,,,,,,,,3.5
standing on the corner - red burns,4.0,3.0,,,,4.0,,,,,,3.5,,,,4.5,,,3.5,4.5,,,4.5,,3.5,,,,3.5,3.5,,4.0,,,,,,3.5,,4.5,,,,,,2.5,,,,,,,,,,,,,,,,3.0,,,,3.5,,,,,4.0,4.5,,,,4.0,,,,,,,4.5,,,4.0,3.5,,,4.0,4.5,,,,,,,,,3.5
stara rzeka - cień chmury nad ukrytym polem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,3.5,,,,,3.0,,,,,,,,,3.5,4.0,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,,,,3.5,,,,,3.5,3.5
stara rzeka - zamknęły się oczy ziemi,,2.5,,,,,,,,,,,,,,,,,,,,,,,4.0,3.5,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,3.5,,,,,,,,,3.5,,,,,3.0,,,,,,,3.5,,,,,,,4.5,,,,,4.0,3.5
starry cat - starry cat,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.5,,,,,,3.5,,3.5,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,3.0,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,4.0,
stars of the lid - and their refinement of the decline,4.0,3.5,,,4.0,4.5,,,4.5,,,3.5,,,,5.0,,,,,,,,,3.5,,,3.0,,4.0,4.0,,,,4.5,,,3.5,,4.0,,,,,,,,,5.0,,4.0,,,,,3.5,,,,3.5,,,,,3.0,4.0,3.5,4.5,,,5.0,4.0,,3.0,4.5,,2.0,,,,,,4.0,,3.5,3.5,3.5,,3.0,4.0,4.5,,,4.0,,,,,,4.0
stars of the lid - the tired sounds of,4.0,3.5,,3.0,,5.0,4.0,,,4.5,,,,,,5.0,,,,,,,4.5,,4.5,,,3.0,,4.0,5.0,3.0,,,4.0,,,3.5,,4.0,,,,,,,,,4.5,2.0,4.0,,,3.0,,4.0,,,,3.5,,,,,,4.0,4.0,5.0,,,4.5,3.5,,3.5,4.0,,,3.0,,,,,4.0,,3.5,4.5,,,,3.5,4.5,3.5,,4.5,,3.5,,,3.5,4.0
starzy singers - rock-á-bubu,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steely dan - aja,4.5,,,,,3.5,4.5,,,,2.5,4.0,,,,3.0,4.0,,4.5,,,,3.5,,3.5,,,3.5,,,,,,3.5,3.5,3.0,,2.5,,,,,,,,4.5,,,,3.0,,,,,,,,,5.0,,,3.0,3.5,,,4.5,,,,,,,,,5.0,,3.5,,,,,,,,3.5,5.0,,,,,,4.0,,4.0,,,,,,
steely dan - can't buy a thrill,3.0,,,,,2.5,,,,5.0,,4.0,,,,,4.5,,4.0,,,,4.0,,4.0,,,3.5,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0,,,4.0,,,,,,,,3.0,3.5,,3.0,,,,3.0,,,,,4.0,,,,,,3.5,,3.5,,,,,,
steely dan - countdown to ecstasy,4.0,,,,,3.5,4.5,,,,,4.5,,,,,4.5,,4.0,,,,,,3.5,,,3.5,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,2.5,,,4.5,,,,,,,,,4.0,,4.0,,,,,,,,3.5,4.5,,,,,,3.5,,3.5,,,,4.5,,
steely dan - pretzel logic,3.5,,,,,3.0,3.0,,,4.5,,4.0,,,,,,,4.0,,,,4.0,,3.5,,,3.5,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,4.0,,,,,,,4.5,,,,,,,,,3.5,,3.5,,,,,,,,3.5,4.5,,,,,,,,3.0,,,,,,
stefan wesołowski - rite of the end,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,3.5,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.5
stella donnelly - beware of the dogs,,2.0,,,,,,,,,3.5,,,,,,,,,,,,,,3.0,3.0,,,,3.5,,,,,,,,3.0,,3.0,,,,,,2.5,3.5,,,,,4.0,,,,2.0,,,,,,2.0,,,,3.5,,,,,,,4.0,,4.0,,,,,,,,,,,,3.5,3.5,,,,,,3.0,,,,,,3.5
stella donnelly - thrush metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.5,,,,,,,,,,,
stellar om source - joy one mile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stephan bodzin - liebe ist...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,,,,,2.5,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
stephan micus - implosions,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stereolab - dots and loops,3.5,3.5,,,,4.5,4.0,,,,4.5,5.0,,,,4.0,3.5,,,4.0,,,,,4.0,,,3.0,,,4.5,,,4.0,3.5,3.5,,5.0,,,,,,,,3.5,,,,4.0,4.0,,3.5,,,4.0,,,,,4.0,,4.5,3.5,3.5,3.5,3.5,,4.0,,4.0,4.0,,,4.5,3.5,4.5,,,4.0,,,,,3.5,5.0,,4.0,3.5,,,4.5,4.0,4.5,,,,,4.0,4.0
stereolab - emperor tomato ketchup,3.5,3.5,,4.0,,5.0,5.0,3.5,4.0,,,4.5,,,,3.5,4.0,3.0,3.5,4.0,,,,,4.0,,,3.5,,3.0,4.5,1.0,,4.0,3.5,3.5,,4.5,,4.0,,,,,,3.5,,,,4.0,3.5,,4.5,,,4.5,,3.5,,,,4.0,4.0,3.0,3.5,4.5,4.0,,4.5,4.0,4.0,3.5,,,4.0,3.0,4.5,,,3.5,4.0,,,,4.0,5.0,3.5,,4.0,2.5,4.5,4.0,4.0,4.5,,,,,4.0,3.5
stereolab - mars audiac quintet,,,,,,4.5,3.5,,4.5,,,4.0,,,,,3.5,,,,,,,,4.0,,,,,,4.0,,,,3.5,,,4.0,,,,,,,,,,,,3.0,,,4.0,,,4.0,,,,,,,4.0,,3.0,3.5,,,3.5,3.5,4.0,,,,3.5,,4.5,,,4.0,,,,,3.5,4.5,,,3.0,4.5,4.5,3.5,3.5,3.5,,,,,,3.5
stereolab - transient random-noise bursts with announcements,3.0,3.5,,3.5,,5.0,4.5,,4.5,,,4.5,,,,3.5,4.0,,3.5,4.0,,,4.0,,4.0,,,3.0,,3.0,4.5,,,4.0,3.5,,,4.0,,4.5,,,,,2.5,3.5,,,,4.0,4.0,,4.0,4.5,,4.5,,,,,,3.5,4.5,3.0,4.0,4.0,3.5,,3.5,,4.5,,,,3.5,,4.5,,,4.0,,,,,4.0,5.0,,3.0,4.0,4.5,4.5,5.0,,4.0,,3.5,,,4.0,4.0
steve gunn - the unseen in between,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,3.5,,,,,,,3.5,,,,,,,,,,,,,,4.5,,,,,,,,,
steve gunn - way out weather,,,,3.5,,,,,,,,4.0,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steve lacy - steve lacy's demo,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,3.0,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,3.0,,,,,,,,,,,,,,
