album,Marie,Jean,Pierre,Michel,André,Jeanne,Philippe,Louis,René,Alain,Jacques,Bernard,Marcel,Daniel,Roger,Paul,Robert,Claude,Henri,Christian,Nicolas,Georges,Françoise,Monique,François,Patrick,Catherine,Nathalie,Gérard,Isabelle,Joseph,Christophe,Jacqueline,Sylvie,Anne,Julien,Maurice,Laurent,Frédéric,Martine,Eric,David,Stéphane,Pascal,Madeleine,Sébastien,Alexandre,Nicole,Suzanne,Thierry,Hélène,Christine,Olivier,Antoine,Thomas,Raymond,Louise,Marguerite,Guy,Denise,Christiane,Yvonne,Valérie,Sophie,Dominique,Charles,Sandrine,Céline,Stéphanie,Marc,Didier,Véronique,Vincent,Chantal,Yves,Marcelle,Guillaume,Renée,Maxime,Bruno,Simone,Jeannine,Andrée,Julie,Paulette,Germaine,Annie,Patricia,Lucie,Camille,Yvette,Brigitte,Léa,Alice,Emilie,Odette,Geneviève,Aurélie,Laurence,Michèle
agent orange - living in darkness,,,3.5,,4.0,3.5,,,3.5,,,,,,,,,4.0,,,,,4.0,,4.5,,,,,,,,,,4.0,,,3.0,4.0,,,,,,,,,,,3.0,4.0,,,,,,,,,,,4.0,4.5,,3.0,,3.5,,3.5,,,,,,,,4.0,,,,3.5,,,,4.0,,,,,,,,,4.0,,,,,,
air - moon safari,3.0,,,4.5,,3.5,3.5,,,4.0,,4.0,,,3.5,3.5,,,,4.0,,3.5,4.5,,4.0,,,3.0,,3.5,3.0,3.5,,4.0,3.0,3.5,,2.5,,3.0,,,,,,,,,,,4.0,,4.5,,,3.5,,,,,,4.0,4.0,,3.5,4.0,4.0,,,,4.0,3.5,,,3.0,3.0,4.5,2.5,,2.5,3.5,,,,3.5,4.5,3.0,,3.0,,,,,3.5,,,,2.5,,3.5
akira yamaoka - silent hill 2,,,,,,,,,,,,,,,,4.5,,,,,,,,,3.5,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
akron/family - akron/family,,,,,,,,,,,,4.5,,,,,3.0,,,,,,,,3.0,,,,,2.5,,2.5,,,3.5,,,,,3.0,,,,,,,,,4.5,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.0,,,,,5.0,,,,,,,,,
akufen - my way,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,3.0,,,,,,,,,,,,,3.5,,,,4.0,,,,,,
alameda 3 - późne królestwo,,,,,,,4.5,,,,,,,4.5,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.5,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,3.5,,,,,4.0,
alameda 4 - czarna woda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
alan vega - alan vega,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,4.5,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert ayler trio - spiritual unity,4.5,,,,,4.5,4.0,,3.5,,,5.0,,,,4.5,,,,,,,,,4.0,3.0,,4.0,,3.5,,,,4.0,3.5,2.5,,4.0,,,,,,,,4.0,,,4.5,,4.0,,,3.0,,,,,,,,,,,,4.5,,,,,,,,4.5,4.0,4.0,3.0,4.0,,4.0,,,,,3.5,3.5,,,,3.0,4.5,,,,,,,,,
albert king - born under a bad sign,,,,,,,,,3.5,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
